# РСЯ — Рекламная сеть Яндекса, фиксированные медийные баннеры (yandex.ru/support/partner)
# Формат строки: Название,Ширина,Высота
Баннер 300x250,300,250
Баннер 320x50,320,50
Баннер 320x100,320,100
Баннер 336x280,336,280
Баннер 480x320,480,320
Баннер 728x90,728,90
Баннер 970x90,970,90
Баннер 970x250,970,250
Баннер 1000x120,1000,120
Баннер 1080x450,1080,450
Баннер 160x600,160,600
Баннер 240x400,240,400
Баннер 240x600,240,600
Баннер 300x300,300,300
Баннер 300x500,300,500
Баннер 300x600,300,600
Баннер 320x480,320,480
Баннер 940x1524,940,1524
